"Country","Date","Policy Category","Policy Type","Policy Value","Policy Value Description","Policy Value Description KFF","Income","Region"
"Spain",2021-05-18,"Health Policies","Vaccination policy",3,"Vaccine availability for all of the following key groups: essential workers, clinically vulnerable, and elderly adults","Partial availability","High income","European Region"
"Estonia",2021-05-18,"Closure Policies","International travel controls",2,"Quarantine arrivals","Partial restriction","High income","European Region"
"Greece",2021-05-18,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","High income","European Region"
"Greece",2021-05-18,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","High income","European Region"
"Greece",2021-05-18,"Closure Policies","Restrictions on internal movement",1,"Recommended not to travel between regions/cities","Recommend not to travel between regions/cities","High income","European Region"
"Greenland",2021-05-18,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","High income",NA
"Greenland",2021-05-18,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","High income",NA
"Greenland",2021-05-18,"Closure Policies","Restrictions on gatherings",3,"Restrictions on gatherings between 11-100 people","Partial restriction","High income",NA
"Guatemala",2021-05-18,"Economic Policies","Income support",0,"No measures","No support","Upper middle income","Region of the Americas"
"Guam",2021-05-18,"Closure Policies","Stay at home requirements",0,"No measures","No restriction","High income",NA
"Haiti",2021-05-18,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","Low income","Region of the Americas"
"Cambodia",2021-05-18,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Lower middle income","Western Pacific Region"
"Mauritania",2021-05-18,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Lower middle income","African Region"
"Mauritania",2021-05-18,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","Lower middle income","African Region"
"Mauritania",2021-05-18,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","Lower middle income","African Region"
"Mauritania",2021-05-18,"Health Policies","Vaccination policy",3,"Vaccine availability for all of the following key groups: essential workers, clinically vulnerable, and elderly adults","Partial availability","Lower middle income","African Region"
"Malawi",2021-05-18,"Closure Policies","International travel controls",3,"Ban arrivals from some regions","Partial restriction","Low income","African Region"
"Namibia",2021-05-18,"Closure Policies","School closing",0,"No measures","No restriction","Upper middle income","African Region"
"Namibia",2021-05-18,"Closure Policies","Workplace closing",0,"No measures","No restrictions","Upper middle income","African Region"
"Namibia",2021-05-18,"Closure Policies","Restrictions on internal movement",1,"Recommended not to travel between regions/cities","Recommend not to travel between regions/cities","Upper middle income","African Region"
"Norway",2021-05-18,"Closure Policies","School closing",1,"Recommended closing or all schools open with alterations resulting in significant operational changes","Partial closing","High income","European Region"
"Oman",2021-05-18,"Closure Policies","Restrictions on internal movement",1,"Recommended not to travel between regions/cities","Recommend not to travel between regions/cities","High income","Eastern Mediterranean Region"
"Romania",2021-05-18,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","High income","European Region"
"Romania",2021-05-18,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","High income","European Region"
"Romania",2021-05-18,"Closure Policies","International travel controls",3,"Ban arrivals from some regions","Partial restriction","High income","European Region"
"Tajikistan",2021-05-18,"Closure Policies","International travel controls",4,"Ban arrivals from all regions/Border closure","Full restriction","Low income","European Region"
"Tajikistan",2021-05-18,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Low income","European Region"
"Tajikistan",2021-05-18,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","Low income","European Region"
"Tajikistan",2021-05-18,"Health Policies","Vaccination policy",4,"Vaccine availability for all of the key groups plus partial additional availability","Partial availability","Low income","European Region"
"Vietnam",2021-05-18,"Closure Policies","Restrictions on internal movement",2,"Internal movement restrictions in place","Internal movement restrictions in place","Lower middle income","Western Pacific Region"
"France",2021-05-19,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","High income","European Region"
"France",2021-05-19,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","High income","European Region"
"Qatar",2021-05-19,"Closure Policies","Restrictions on internal movement",1,"Recommended not to travel between regions/cities","Recommend not to travel between regions/cities","High income","Eastern Mediterranean Region"
"Singapore",2021-05-19,"Closure Policies","School closing",3,"Required closing on all levels","Full closing","High income","Western Pacific Region"
"Tunisia",2021-05-19,"Closure Policies","School closing",1,"Recommended closing or all schools open with alterations resulting in significant operational changes","Partial closing","Lower middle income","Eastern Mediterranean Region"
"Cuba",2021-05-20,"Health Policies","Vaccination policy",5,"Universal availability","Universal availability","Upper middle income","Region of the Americas"
"Guyana",2021-05-20,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","Upper middle income","Region of the Americas"
"Croatia",2021-05-20,"Closure Policies","Restrictions on gatherings",3,"Restrictions on gatherings between 11-100 people","Partial restriction","High income","European Region"
"Kiribati",2021-05-20,"Closure Policies","School closing",3,"Required closing on all levels","Full closing","Lower middle income","Western Pacific Region"
"Kiribati",2021-05-20,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Lower middle income","Western Pacific Region"
"Kiribati",2021-05-20,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","Lower middle income","Western Pacific Region"
"Kiribati",2021-05-20,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","Lower middle income","Western Pacific Region"
"Kiribati",2021-05-20,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Lower middle income","Western Pacific Region"
